event_number,utc,cor2_z,strict_matched_peak_count,strict_matched_center_radii_rsun,strict_spacing_cv,strict_count_p_raw,strict_cell_stat_p_raw,best_ridge_p_raw,common_ridge_p_raw,best_model_family,best_v_inner_km_s,best_v_outer_km_s,tb_pb_global_phase_difference_min,phase_clock_reassessment,geometry_reassessment,kinematic_reassessment,category,category_label,coronal_reassessment,shock_specific_evidence,new_p_value_computed
1,2008-01-11T14:37:30Z,1.9045678101675219,4,1.700|1.962|2.475|2.812,0.392522705170127,0.06944444444444445,0.06944444444444445,0.7430555555555556,0.041666666666666664,deceleration,300.0,50.0,30.0,timing-compatible within 0-30 min; source clock not established,measured projected expansion proxy=4.55 near 2.07 R_sun; geometry is not causal evidence,"frozen deceleration model 300->50 km/s; edge speeds 20/25/300 are not hard failures, but no event-specific transport posterior was computed",B,multi-ridge coronal-compatible morphology,Four matched peaks and a low common-ridge raw p give the strongest non-pilot coronal-compatible morphology; no event clock or shock closure.,not established,False
2,2008-01-12T05:07:30Z,1.4185207800009825,2,2.025|2.675,,0.6180555555555556,0.6180555555555556,0.8541666666666666,0.3125,deceleration,300.0,20.0,75.0,tB/pB timing unresolved after bounded broadening; source clock not established,measured projected expansion proxy=1.75 near 2.45 R_sun; geometry is not causal evidence,frozen deceleration model 300->20 km/s; chain transport not estimable from fewer than three matched peaks,D,isolated or incomplete chain,Two matched peaks are insufficient for a periodic or shock-cell chain.,not established,False
3,2008-01-12T11:37:30Z,1.3572946759855757,1,2.300,,0.9444444444444444,0.9444444444444444,0.4305555555555556,0.125,deceleration,250.0,20.0,75.0,tB/pB timing unresolved after bounded broadening; source clock not established,measured projected expansion proxy=1.22 near 1.92 R_sun; geometry is not causal evidence,frozen deceleration model 250->20 km/s; chain transport not estimable from fewer than three matched peaks,D,isolated or incomplete chain,"One matched peak is an isolated enhancement, not a cross-height chain.",not established,False
4,2008-01-12T22:07:30Z,2.0268880649347003,3,2.012|2.412|2.825,2.775557561562902e-16,0.1875,0.0763888888888889,0.11805555555555555,0.4791666666666667,deceleration,200.0,25.0,60.0,marginal after 15-30 min broadening; source clock not established,measured width proxy unavailable; spherical r^2 bracket only,"frozen deceleration model 200->25 km/s; edge speeds 20/25/300 are not hard failures, but no event-specific transport posterior was computed",B,multi-ridge coronal-compatible morphology,Three nearly equally spaced peaks survive as a regular-cell hint; the 60-min tB/pB mismatch makes transport/clock identification marginal.,not established,False
5,2008-01-13T01:07:30Z,2.0289245855915374,1,2.012,,0.9444444444444444,0.9444444444444444,0.4375,0.06944444444444445,deceleration,300.0,20.0,90.0,tB/pB timing unresolved after bounded broadening; source clock not established,measured projected expansion proxy=1.71 near 2.75 R_sun; geometry is not causal evidence,frozen deceleration model 300->20 km/s; chain transport not estimable from fewer than three matched peaks,D,isolated or incomplete chain,"A common-ridge hint exists, but only one strict matched peak and 90-min product mismatch prevent a radial-chain interpretation.",not established,False
6,2008-01-13T05:37:30Z,1.2689771940366317,3,2.400|2.662|2.850,0.2,0.1875,0.14583333333333334,0.9375,0.6875,constant,300.0,300.0,180.0,tB/pB timing unresolved after bounded broadening; source clock not established,measured width proxy unavailable; spherical r^2 bracket only,"frozen constant model 300->300 km/s; edge speeds 20/25/300 are not hard failures, but no event-specific transport posterior was computed",C,weak multi-ridge morphology,"Three peaks are present, but their raw statistics are weak and the products differ by 180 min; retain only a weak morphology label.",not established,False
7,2008-01-13T10:07:30Z,1.5508401029178402,1,2.462,,0.9444444444444444,0.9444444444444444,0.7222222222222222,0.375,acceleration,30.0,250.0,45.0,marginal after 15-30 min broadening; source clock not established,measured projected expansion proxy=0.58 near 2.32 R_sun; geometry is not causal evidence,frozen acceleration model 30->250 km/s; chain transport not estimable from fewer than three matched peaks,D,isolated or incomplete chain,"Only one matched peak is present; the accelerating fit is a model preference, not evidence for transported PDS.",not established,False
8,2008-01-13T14:37:30Z,1.5048374337932233,3,1.762|2.387|2.537,0.6551724137931023,0.1875,0.18055555555555555,0.6458333333333334,0.7291666666666666,deceleration,100.0,40.0,15.0,timing-compatible within 0-30 min; source clock not established,measured projected expansion proxy=3.50 near 2.07 R_sun; geometry is not causal evidence,"frozen deceleration model 100->40 km/s; edge speeds 20/25/300 are not hard failures, but no event-specific transport posterior was computed",C,weak multi-ridge morphology,"Projected expansion and 15-min product agreement are compatible, but radial spacing is irregular and the multi-peak statistic is weak.",not established,False
9,2008-01-13T15:37:30Z,1.6497002418339775,4,1.762|2.087|2.537|2.825,0.05832118435198148,0.06944444444444445,0.027777777777777776,0.4861111111111111,0.2569444444444444,deceleration,100.0,30.0,30.0,timing-compatible within 0-30 min; source clock not established,measured pB width proxy A/Ainner up to 3.16; expanding-ridge geometry is sensitivity-stable,"frozen deceleration model 100->30 km/s; Ptransport=0.164-0.202; outward order supported, transport not closed",A,expansion-stable ordered candidate,"Four matched peaks plus expansion-stable outward ordering.  This is the strongest spatial sequence, but its inter-node speeds remain poorly constrained.",not established,False
10,2008-01-13T17:07:30Z,1.6386389862359545,3,1.775|2.075|2.537,0.034482758620690564,0.1875,0.09027777777777778,0.5416666666666666,0.2361111111111111,deceleration,150.0,20.0,135.0,tB/pB timing unresolved after bounded broadening; source clock not established,measured width proxy unavailable; spherical r^2 bracket only,"frozen deceleration model 150->20 km/s; edge speeds 20/25/300 are not hard failures, but no event-specific transport posterior was computed",B,multi-ridge coronal-compatible morphology,"Three regularly spaced peaks support morphology, while the 135-min global tB/pB mismatch argues against a preserved event phase.",not established,False
11,2008-01-13T19:37:30Z,1.4046445783936397,3,1.912|2.450|2.612,0.5714285714285713,0.1875,0.16666666666666666,0.0625,0.4791666666666667,acceleration,80.0,300.0,30.0,timing-compatible within 0-30 min; source clock not established,measured width proxy unavailable; spherical r^2 bracket only,"frozen acceleration model 80->300 km/s; edge speeds 20/25/300 are not hard failures, but no event-specific transport posterior was computed",B,multi-ridge coronal-compatible morphology,"Three peaks, a borderline best-ridge raw p, and 30-min product agreement make this a compatible but unconfirmed accelerating-pattern candidate.",not established,False
12,2008-01-13T21:37:30Z,1.9016556531675781,3,1.925|2.387|2.650,0.06666666666666694,0.1875,0.10416666666666667,0.034722222222222224,0.8333333333333334,deceleration,100.0,25.0,0.0,timing-compatible within 0-30 min; source clock not established,measured pB width proxy A/Ainner up to 2.19; exploratory pB geometry/axis coincidence near 2.70-2.75 R_sun,"frozen deceleration model 100->25 km/s; Ptransport=0.338-0.452; outward order supported, transport not closed",A,expansion-stable ordered candidate,"Three matched peaks and an individually identified ridge are preserved by the expanding filter.  It is closer to outward transport than #9, but remains below the full transport threshold.",not established,False
