event_number,utc,cor2_anchor_min,cor2_z,best_product,best_ridge_score,best_ridge_p_raw,common_ridge_score,common_ridge_p_raw,individual_model_gain,individual_model_gain_p_raw,global_phase_tb_min,global_phase_pb_min,global_phase_product_difference_min,global_phase_tb_score,global_phase_pb_score,phase_curve_tb_mad_min,phase_curve_tb_pb_difference_mad_min,phase_curve_tb_boundary_fraction,strong_phase_height_fraction,kink_radius_rsun,kink_jump_min,kink_gain,kink_p_raw,interpretation,best_family,best_v_inner_km_s,best_v_outer_km_s,best_change_radius_rsun
1,2008-01-11T14:37:30Z,877.5,1.9045678101675219,pb,0.2996867567362952,0.7430555555555556,0.27523903314312415,0.041666666666666664,0.024447723593171045,0.9861111111111112,-15.0,15.0,30.0,0.29099048541375117,0.1992771583517351,45.933812439812066,75.03043974147303,0.29310344827586204,0.10344827586206896,2.750000000000001,-33.48557290493534,0.12249391053191011,0.8819444444444444,phase not identifiable,deceleration,300.0,50.0,2.9000000000000012
2,2008-01-12T05:07:30Z,1747.5,1.4185207800009825,pb,0.28319483256722766,0.8541666666666666,0.11400968152913228,0.3125,0.1691851510380954,0.8263888888888888,-90.0,-15.0,75.0,0.22799181428153184,0.13702724568632552,82.45206135279595,63.687978655614856,0.5,0.15517241379310345,1.9000000000000001,35.924605030107315,0.1770178379784889,0.8263888888888888,phase not identifiable,deceleration,300.0,20.0,2.4000000000000004
3,2008-01-12T11:37:30Z,2137.5,1.3572946759855757,pb,0.3724742344247485,0.4305555555555556,0.20603063885239295,0.125,0.16644359557235552,0.8402777777777778,-15.0,-90.0,75.0,0.222873087688432,0.05784495467579995,43.85267765591609,77.33163876212583,0.22413793103448276,0.017241379310344827,2.1000000000000005,-43.210822730175295,0.45820539120713305,0.2013888888888889,phase not identifiable,deceleration,250.0,20.0,2.6000000000000005
4,2008-01-12T22:07:30Z,2767.5,2.0268880649347003,total_b,0.47517595725200157,0.11805555555555555,0.04068783483193133,0.4791666666666667,0.43448812242007023,0.3472222222222222,-75.0,-15.0,60.0,0.29160174454564924,0.20397758872482927,53.08373650170444,89.81005486489217,0.39655172413793105,0.1896551724137931,1.9000000000000001,33.628197665523295,0.2219031093892069,0.7222222222222222,phase not identifiable,deceleration,200.0,25.0,2.3000000000000007
5,2008-01-13T01:07:30Z,2947.5,2.0289245855915374,total_b,0.3718519881490515,0.4375,0.2365716079490212,0.06944444444444445,0.1352803802000303,0.8958333333333334,45.0,-45.0,90.0,0.2887833251129114,0.16002460344311065,62.97517787469631,57.86966245489754,0.41379310344827586,0.22413793103448276,1.8,-55.015984783109836,0.3927341842178555,0.2638888888888889,phase not identifiable,deceleration,300.0,20.0,2.1000000000000005
6,2008-01-13T05:37:30Z,3217.5,1.2689771940366317,total_b,0.23823596196520094,0.9375,-0.06966418123850314,0.6875,0.30790014320370407,0.5069444444444444,-90.0,90.0,180.0,0.055721422362582596,0.018561974989467107,30.514811278293152,52.574893944091066,0.5689655172413793,0.0,1.85,39.594919152635484,0.23567049042073637,0.7083333333333334,phase not identifiable,constant,300.0,300.0,
7,2008-01-13T10:07:30Z,3487.5,1.5508401029178402,total_b,0.30463025889261,0.7222222222222222,0.08470831126045443,0.375,0.21992194763215556,0.7291666666666666,30.0,75.0,45.0,0.14619304449370485,0.013863072186060824,43.82227372228546,70.90363196683583,0.27586206896551724,0.0,2.2500000000000004,46.17926130259889,0.3896165385115191,0.2638888888888889,phase not identifiable,acceleration,30.0,250.0,2.3000000000000007
8,2008-01-13T14:37:30Z,3757.5,1.5048374337932233,pb,0.3315609400069838,0.6458333333333334,-0.10162753434663906,0.7291666666666666,0.43318847435362284,0.3472222222222222,90.0,75.0,15.0,0.18768382867154976,0.09822010357746633,72.73682897047894,40.744328276061786,0.4482758620689655,0.13793103448275862,2.850000000000001,-55.43713765845034,0.1335815431627781,0.8680555555555556,phase not identifiable,deceleration,100.0,40.0,2.1000000000000005
9,2008-01-13T15:37:30Z,3817.5,1.6497002418339775,pb,0.3669394029464724,0.4861111111111111,0.1350568485562276,0.2569444444444444,0.23188255439024483,0.7083333333333334,45.0,15.0,30.0,0.19069634312540873,0.09822010357746633,54.077443616787775,41.86770786228199,0.3448275862068966,0.13793103448275862,2.850000000000001,-65.44895886183043,0.1993474831531303,0.8194444444444444,phase not identifiable,deceleration,100.0,30.0,2.2
10,2008-01-13T17:07:30Z,3907.5,1.6386389862359545,pb,0.35925305172505395,0.5416666666666666,0.14668170803567937,0.2361111111111111,0.21257134368937458,0.7291666666666666,-45.0,90.0,135.0,0.19069634312540873,0.1499145941062813,54.077443616787775,19.886349311919865,0.3448275862068966,0.13793103448275862,2.850000000000001,-65.44895886183043,0.1993474831531303,0.8194444444444444,phase not identifiable,deceleration,150.0,20.0,2.3000000000000007
11,2008-01-13T19:37:30Z,4057.5,1.4046445783936397,total_b,0.5065217987526032,0.0625,0.03857584243861592,0.4791666666666667,0.4679459563139873,0.2986111111111111,-30.0,-60.0,30.0,0.06102130921156185,0.1499145941062813,46.73412922908037,43.869569226342016,0.3448275862068966,0.1206896551724138,2.850000000000001,50.059171307313534,0.21458985891760532,0.7708333333333334,phase not identifiable,acceleration,80.0,300.0,1.9000000000000001
12,2008-01-13T21:37:30Z,4177.5,1.9016556531675781,total_b,0.5434762369558755,0.034722222222222224,-0.15235204483861056,0.8333333333333334,0.6958282817944861,0.041666666666666664,-90.0,-90.0,0.0,-0.05205250599539914,0.03389128556715932,0.0,34.37603645200626,0.6379310344827587,0.10344827586206896,2.750000000000001,46.27984260372295,0.44141761529460405,0.2222222222222222,ridge; kink not identified,deceleration,100.0,25.0,2.9000000000000012
